year,individualism,collectivism,tightness,looseness
1800,4.789623617462713e-05,0.0002047419207258372,1.1960933324495215e-05,6.280579708439759e-06
1801,4.7243674454211516e-05,0.00019388191135476517,1.1875700856052163e-05,6.233732644069789e-06
1802,4.575882761228186e-05,0.00018556278790053207,1.1804986298476668e-05,6.144270485989682e-06
1803,4.613074987696348e-05,0.00018158806653900683,1.1768315323783846e-05,6.116652772693496e-06
1804,4.3592575774322106e-05,0.0001780557001568793,1.1894550971496593e-05,6.029908032908641e-06
1805,4.470255245606466e-05,0.00017449250987868124,1.1703220851190718e-05,5.893266731625348e-06
1806,4.6541438067085726e-05,0.00017710414699325026,1.182220673849242e-05,6.0221423915976915e-06
1807,4.691335200679436e-05,0.0001629569434921255,1.1475799357693208e-05,5.9604701564123065e-06
1808,4.8106321575258626e-05,0.00016737412049191595,1.1500009620440161e-05,5.975070667916884e-06
1809,4.959266150044478e-05,0.0001725507522516117,1.1614777070434457e-05,6.082180494931018e-06
1810,4.981752634991565e-05,0.00017483957365779394,1.1678120532008864e-05,6.033510290327979e-06
1811,4.975915923661438e-05,0.00017732716474126522,1.1687445235456347e-05,5.974958904683295e-06
1812,5.078230877431089e-05,0.0001787068904458725,1.1794169518708486e-05,6.071524274808837e-06
1813,5.047134888796252e-05,0.0001826376584403988,1.1887876750600006e-05,6.1242886200510835e-06
1814,5.2156392058101885e-05,0.00018055370631080744,1.2277912236616624e-05,6.249703313221388e-06
1815,5.220529204571659e-05,0.00017702494778047497,1.2206732528799842e-05,6.212081630296851e-06
1816,5.269955101914826e-05,0.00017650697100179968,1.2315094900117173e-05,6.180248758130042e-06
1817,5.395298561291665e-05,0.00018191237520730804,1.2591811015637079e-05,6.388967069754463e-06
1818,5.456401750333509e-05,0.00018098132632563387,1.253152550282672e-05,6.434511675047969e-06
1819,5.424972771625062e-05,0.00017656768381714625,1.2454127439350974e-05,6.427347260414986e-06
1820,5.404478927511265e-05,0.00016988117079920682,1.2176515578740268e-05,6.248180749952274e-06
1821,5.4364338043384155e-05,0.00016924263837024358,1.1844526393036047e-05,6.18355913736744e-06
1822,5.564057548463579e-05,0.0001707411131113596,1.2023524306873208e-05,6.364853885616156e-06
1823,5.7474616208720774e-05,0.00016858527665622854,1.1834388372225898e-05,6.465138039689147e-06
1824,5.797887524933947e-05,0.00016116645910610065,1.146643822268954e-05,6.391262677950062e-06
1825,5.867471160961709e-05,0.00016007131418811175,1.1468501511911558e-05,6.467613457588379e-06
1826,6.061285280494528e-05,0.00015917896893467644,1.1435730100625312e-05,6.502916928760198e-06
1827,6.306274986749611e-05,0.0001590984307589289,1.1717100847416111e-05,6.764947157145151e-06
1828,6.400688994498019e-05,0.0001579859403883737,1.1741728739674987e-05,6.8375710535608005e-06
1829,6.376967093178556e-05,0.00015174660632867796,1.1906291078389586e-05,6.807176639603682e-06
1830,6.425569030602381e-05,0.00014988602047034355,1.1835550150099802e-05,6.840864795195793e-06
1831,6.424660690380295e-05,0.0001492636605706009,1.1889576727038989e-05,6.896847212174111e-06
1832,6.530766549311158e-05,0.00014479333177470316,1.1641663982280598e-05,6.859880815337663e-06
1833,6.507596957502518e-05,0.00014271341197919746,1.1589581831726394e-05,6.923503741842633e-06
1834,6.488899976123515e-05,0.00014321957705273495,1.1460043501797048e-05,6.903752321045311e-06
1835,6.597454444242803e-05,0.00014280705650142927,1.1498352416237725e-05,6.989774281725345e-06
1836,6.769071494109166e-05,0.00014492042890066972,1.10954956734791e-05,6.9655813546652484e-06
1837,6.764745195234465e-05,0.0001424995860962294,1.0952398508631436e-05,6.861013223749148e-06
1838,6.939724916968766e-05,0.00014001928676472225,1.0717672163959184e-05,6.804625212652222e-06
1839,7.009310552000667e-05,0.00014005851574795867,1.07682739647024e-05,6.828603900237746e-06
1840,7.059767767739597e-05,0.00013714969753664263,1.0507508674046611e-05,6.698311725919899e-06
1841,7.09152737713278e-05,0.00013401322884679497,1.0285920451126782e-05,6.649788207032818e-06
1842,7.098410482190129e-05,0.00013226532126152182,1.0119398867353928e-05,6.587712307934026e-06
1843,7.012779857059773e-05,0.0001320065813631897,1.0052302393960742e-05,6.58058273068323e-06
1844,6.97075490909376e-05,0.00013192653836670485,9.967758936113569e-06,6.57356533318205e-06
1845,6.937812226581741e-05,0.00013151848130681692,1.0012897924533652e-05,6.692948762981876e-06
1846,6.893434468224768e-05,0.0001331118529930921,1.0044960702616988e-05,6.768979436374714e-06
1847,6.919500000484342e-05,0.00013455413461217956,1.0147482882822649e-05,6.9037646802946485e-06
1848,6.896392341688389e-05,0.00013589509088823045,1.0178186586529137e-05,6.902514933648795e-06
1849,6.864437022484944e-05,0.0001380997885738517,1.0320650967392859e-05,7.089311051193338e-06
1850,6.89262750357094e-05,0.00013869603096087042,1.0324069841008817e-05,7.133006531850101e-06
1851,6.901248773744888e-05,0.0001405058098628485,1.039099962330933e-05,7.265984426319776e-06
